video_id,title,publishedAt
BOKCNUqbpH0,Omar Suleiman: Islam | Lex Fridman Podcast #352,2023-01-17T17:33:56Z
Z3_PwvvfxIU,"MrBeast: Future of YouTube, Twitter, TikTok, and Instagram | Lex Fridman Podcast #351",2023-01-11T17:33:09Z
7Sk6lTLSZcA,1984 by George Orwell | Lex Fridman,2023-01-08T20:20:15Z
NXU_M4030nE,"Betül Kaçar: Origin of Life, Ancient DNA, Panspermia, and Aliens | Lex Fridman Podcast #350",2022-12-29T17:34:42Z
9ARgV3meTq8,"How to improve Twitter | Lex Fridman, Kimbal Musk, Eric Weinstein, and Liv Boeree",2022-12-24T19:09:39Z
pNlfHgHJweQ,Bhaskar Sunkara: Socialism and Communism | Lex Fridman Podcast #349,2022-12-22T19:39:59Z
yyBosLx7bbM,Nathalie Cabrol: Search for Alien Life | Lex Fridman Podcast #348,2022-12-19T18:56:13Z
NUkXluf3OYA,Michael Malice: Christmas Special | Lex Fridman Podcast #347,2022-12-15T20:24:37Z
9PIOoJMMptA,Ed Calderon: Mexican Drug Cartels | Lex Fridman Podcast #346,2022-12-12T17:09:39Z
hi9Rf0oLdHk,"Coffeezilla: SBF, FTX, Fraud, Scams, Fake Gurus, Money, Fame, and Power | Lex Fridman Podcast #345",2022-12-09T02:24:56Z
2oHH4aClJQs,Noam Brown: AI vs Humans in Poker and Games of Strategic Negotiation | Lex Fridman Podcast #344,2022-12-06T17:22:16Z
FhfmGM6hswI,Roger Gracie: Greatest Jiu Jitsu Competitor of All Time | Lex Fridman Podcast #343,2022-12-03T17:09:30Z
jHGuXMzaARY,Joe Rogan recommends Lex Fridman: Neil deGrasse Tyson is having none of it,2022-12-02T20:34:55Z
H9AAnV59ddE,"Todd Howard: Skyrim, Elder Scrolls 6, Fallout, and Starfield | Lex Fridman Podcast #342",2022-11-29T17:03:14Z
-DVyjdw4t9I,Guido van Rossum: Python and the Future of Programming | Lex Fridman Podcast #341,2022-11-26T16:23:48Z
4KiO8GRgwDk,Chris Tarbell: FBI Agent Who Took Down Silk Road | Lex Fridman Podcast #340,2022-11-22T17:23:09Z
5Gk9gIpGvSE,Climate Change Debate: Bjørn Lomborg and Andrew Revkin | Lex Fridman Podcast #339,2022-11-18T16:55:57Z
kFQUDCgMjRc,"Chamath Palihapitiya: Money, Success, Startups, Energy, Poker &amp; Happiness | Lex Fridman Podcast #338",2022-11-15T16:56:46Z
bqeuFiAUU4o,"Destiny: Politics, Free Speech, Controversy, Sex, War, and Relationships | Lex Fridman Podcast #337",2022-11-11T17:23:48Z
AF8DOS4C2KM,"Ben Shapiro: Politics, Kanye, Trump, Biden, Hitler, Extremism, and War | Lex Fridman Podcast #336",2022-11-07T15:50:54Z
vNhSCF9i8Qs,Fiona Hill: Vladimir Putin and Donald Trump | Lex Fridman Podcast #335,2022-11-04T16:09:32Z
